,AÑO,CONSECUTIO,INSCRIPCION,LOCALIDAD,TIPO,COD TIPO,NOMBRE,General,Nutrición y Salubridad,Ambientes Adecuados y Seguros,Proceso Pedagógico,Talento Humano,Proceso Administrativo,Segmento
11815,2019,80,7829,KENNEDY,PRIVADO,PRI, CENTRO DE ESTIMULACIÓN INTEGRAL LA PEQUEÑA LILY,"0,7175509119","0,7080519481","0,7404078014","0,6385964912","0,7301587302","0,7771428571",Bajo
11816,2019,81,14359,BOSA,PUBLICO,CC, J I RAICES,"0,9397722222","0,8787878788","0,9930555556",1,"0,8648148148","0,92",Alto
11817,2019,82,627,SANTA FE,PUBLICO,JSDIS, JARDÍN INFANTIL LA PERSEVERANCIA,"0,8153289377","0,7620779221","0,7166361416","0,950877193","0,8214285714","0,92",Alto
11818,2019,83,628,SANTA FE,PUBLICO,JSDIS, CASA DE PENSAMIENTO INTERCULTURAL SHIMYAC,"0,8144576494","0,6606060606","0,7746048632","0,950877193","0,8698412698","0,8971428571",Alto
11819,2019,84,16512,USAQUEN,PRIVADO,PRI, GIMNASIO PEDAGÓGICO JIREH,"0,5918479737","0,6604329004","0,7013424519","0,3245614035","0,6805555556","0,5171428571",Bajo
11820,2019,85,17010,BOSA,PUBLICO,JSDIS, ACUNAR LA ESTACION DE LA ALEGRIA,"0,8589279503","0,8098701299","0,8565217391","0,9649122807","0,7444444444","0,92",Alto
11821,2019,86,19114,ENGATIVA,PRIVADO,PRI, JARDÍN INFANTIL MI MUNDO AZUL,"0,3264937729","0,3423376623","0,4826617827","0,1789473684","0,2825396825","0,2142857143",Medio
11822,2019,87,Q536,BOSA,PRIVADO,, J I PASITOS DE GIGANTE,"0,1431599114","0,156017316","0,2329457364",0,"0,2063492063","0,05714285714",Medio
11823,2019,88,Q537,BOSA,PRIVADO,, J I MICKEY MOUSE ZDC,"0,2704084249","0,2666666667","0,5770757021",0,"0,1507936508","0,1142857143",Medio
11824,2019,89,289,USAQUEN,PRIVADO,PRI, MI MUNDO CREATIVO,"0,5929727273","0,7672727273","0,4859090909","0,5719298246","0,5955555556","0,5742857143",Bajo
11825,2019,90,16155,CIUDAD BOLIVAR,PRIVADO,PRI, OKI DOKI,"0,6272764228","0,6060606061","0,5446515679","0,7789473684","0,776984127","0,4714285714",Bajo
11826,2019,91,17642,SUBA,PRIVADO,PRI, JARDIN PEDAGOGICO HUELLAS COLOMBIANAS,"0,3418839599","0,5354545455","0,3726608187","0,4210526316","0,1619047619","0,05714285714",Bajo
11827,2019,92,1068,SUBA,PRIVADO,PRI, JARDIN INFANTIL Y GUARDERIA LA CASIRA DE MICKEY MOUSE,"0,6387047619","0,6716883117","0,6555555556","0,5614035088","0,5333333333","0,7685714286",Bajo
11828,2019,93,19607,KENNEDY,PRIVADO,PRI, EL TESORO DEL SABER KIDS SAS,"0,6563547619","0,7381818182","0,5716269841","0,6666666667","0,8333333333","0,5057142857",Bajo
11829,2019,94,RQ200302019,TUNJUELITO,PRIVADO,, GUARDERÍA PLAYGROUND,"0,08875833333","0,02181818182","0,2520833333",0,"0,05555555556",0,Medio
11830,2019,95,16886,RAFAEL URIBE URIBE,PUBLICO,JSDIS, JARDIN ACUNAR SUEÑOS Y SONRISAS,"0,8479619048","0,7628571429","0,7808333333",1,"0,8472222222","0,92",Alto
11831,2019,96,18903,BOSA,PRIVADO,PRI, J I PEQUEXPOLRADORES,"0,4439691729","0,5127272727","0,4664369256","0,5087719298","0,1904761905","0,4714285714",Bajo
11832,2019,97,283,KENNEDY,PRIVADO,PRI, ABC GUARDERÍA Y CENTRO DE ESTIMULACIÓN INTEGRAL,"0,5905666667","0,7527272727","0,425","0,6666666667","0,6666666667","0,5057142857",Bajo
11833,2019,98,6774,KENNEDY,PRIVADO,PRI, KINDER GARDEN MAMÁ CANGURO,"0,5258666667","0,5927272727","0,46","0,4140350877","0,6666666667","0,5628571429",Bajo
11834,2019,99,18605,USME,PRIVADO,PRI, GIMNASIO INFANTIL PEQUEÑOS EXPLORADORES,"0,611477193","0,6921212121","0,6207017544","0,8421052632","0,5","0,2714285714",Bajo
11835,2019,100,19813,KENNEDY,PRIVADO,PRI, C.D.I. HARVARD KIDS CONSTRUYENDO TALENTOS,"0,3017846939","0,2737662338","0,3947108844","0,04210526316","0,380952381","0,4142857143",Medio
11836,2019,101,RQ359552019,SUBA,PRIVADO,," FUNDACILON COLOMBIA CHIQUITA. "" FUNDACOLCHI ""","0,104796748","0,09696969697","0,2782113821",0,0,0,Medio
11837,2019,102,827,ENGATIVA,PRIVADO,PRI, CENTRO ESTIMULACIÓN INICIAL MIS PEQUEÑOS ENANITOS,"0,4733722222","0,4193939394","0,5187962963","0,4771929825","0,6666666667","0,2485714286",Bajo
11838,2019,103,2173,USAQUEN,PRIVADO,PRI, GIMNASIO INFANTIL PLEYADE,"0,6964714286","0,8763636364","0,4669047619","0,6315789474","0,8666666667","0,8114285714",Alto
11839,2019,104,4009,KENNEDY,PRIVADO,PRI, TALLER CREATIVO CARRUSEL MÁGICO,"0,3291818815","0,1915151515","0,4621777003","0,2719298246","0,2261904762","0,4485714286",Medio
11840,2019,105,15891,BOSA,PRIVADO,PRI,LICEO INFANTIL MUNDO CREATIVO ,"0,6224135889","0,6990909091","0,5974738676","0,6666666667","0,746031746","0,3628571429",Bajo
11841,2019,106,15912,SUBA,PRIVADO,PRI, JARDIN INFANTIL HOPES DREAMS KINDERGARTEN SAS,"0,7119147585","0,6753246753","0,6440121581","0,8596491228","0,6613756614","0,7685714286",Bajo
11842,2019,107,19637,SUBA,PRIVADO,PRI, ORIGAMI MAZUREN,"0,5366571429","0,4672727273","0,5692857143","0,8105263158","0,3404761905","0,4142857143",Bajo
11843,2019,108,RQ753552019,ENGATIVA,PRIVADO,, NUESTRO MUNDO MAGICO,"0,2622616725","0,336969697","0,5239198606",0,"0,2063492063",0,Medio
11844,2019,109,14460,SUBA,PRIVADO,PRI, CENTRO DE DESARROLLO INFANTIL UN MUNDO PARA CRECER,"0,4334444444","0,7050505051","0,4233333333","0,1315789474","0,4555555556","0,4142857143",Bajo
11845,2019,110,15778,SUBA,PRIVADO,PRI, JARDIN IBFANTIL BUGS BUNNY,"0,4013730159","0,3818181818","0,3987037037","0,3245614035","0,5206349206","0,4142857143",Bajo
11846,2019,111,16055,KENNEDY,PRIVADO,PRI, JARDÍN INFANTIL ESTIMULACIÓN TEMPRANA,"0,5395","0,5515151515","0,4716666667","0,7754385965","0,4222222222","0,4714285714",Bajo
11847,2019,112,19887,KENNEDY,PRIVADO,PRI, UNIVERSAL KIDS KINDERGARTEN,"0,7258769841","0,6366233766","0,6789550265","0,7964912281","0,7333333333","0,8628571429",Bajo
11848,2019,113,8632,SUBA,PRIVADO,PRI, CHIQUITINES DEL MIRADOR,"0,7877452381","0,8603030303","0,7714285714","0,649122807","0,8194444444","0,8628571429",Alto
11849,2019,114,18726,USAQUEN,PRIVADO,PRI,MI ATELIE,"0,5099412008","0,5463203463","0,6564389234","0,3052631579","0,5174603175","0,4085714286",Bajo
11850,2019,115,2571,BOSA,PRIVADO,PRI, JI SAN SIMON STOCK,"0,7547222222","0,5272727273","0,9268518519","0,5614035088","0,8666666667","0,8857142857",Bajo
11851,2019,116,14546,KENNEDY,PRIVADO,PRI, GIMNASIO INFANTIL LA SABIDURÍA,"0,7180702671","0,7139393939","0,7295993031","0,4771929825","0,7857142857","0,9542857143",Alto
11852,2019,117,18105,USAQUEN,PRIVADO,PRI, SMART KIDS KINDERGARDEN,"0,5384543743","0,4898701299","0,4453875969","0,6140350877","0,4666666667","0,7885714286",Bajo
11853,2019,118,276,USAQUEN,PRIVADO,PRI, JARDÍN INFANTIL MIS PEQUEÑOS AMIGOS,"0,4918695652","0,7381818182","0,4728985507","0,3684210526","0,3333333333","0,4828571429",Bajo
11854,2019,119,16005,SUBA,PRIVADO,PRI, SUEÑOS DE COLORES,"0,4154429429","0,3691919192","0,4347039897","0,5263157895","0,3587301587","0,3571428571",Bajo
11855,2019,120,16585,USAQUEN,PRIVADO,PRI, HAPPY KIDS KINDERGARDEN,"0,6074137709","0,7390909091","0,5272522523","0,5578947368","0,6682539683","0,5742857143",Bajo
11856,2019,121,19284,ENGATIVA,PRIVADO,PRI, ALEGRÍA DEL SABER MM,"0,1764285714","0,3246753247","0,2833333333",0,"0,1333333333",0,Medio
11857,2019,122,19477,ENGATIVA,PRIVADO,PRI, JARDÍN INFANTIL MANITOS A LA OBRA,"0,2432434109","0,3163636364","0,273255814","0,1140350877","0,1333333333","0,3571428571",Medio
11858,2019,123,1519,TEUSAQUILLO,PRIVADO,PRI, KIDS KINGDOM,"0,8003089666","0,9198268398","0,7751013171","0,8666666667","0,7916666667","0,5857142857",Alto
11859,2019,124,2038,KENNEDY,PRIVADO,PRI, JARDÍN INFANTIL PSICOPEDAGÓGICO EL CARRUSEL DEL NIÑO JESÚS,"0,196477193","0,3163636364","0,1629239766",0,"0,1333333333","0,4142857143",Medio
11860,2019,125,18869,TEUSAQUILLO,PRIVADO,PRI, KIDS KINGDOM SEDE B,"0,7637126016","0,7975757576","0,7453832753","0,7403508772","0,7797619048","0,7642857143",Alto
11861,2019,126,20082,SUBA,PRIVADO,PRI, GIMNASIO TINEZ SEDE A,"0,2194809524","0,2877922078","0,3161111111","0,1578947368","0,05555555556","0,1642857143",Medio
11862,2019,127,1837,SUBA,PRIVADO,PRI,LICEO SAN MARTIN,"0,7109405797","0,5024242424","0,6639130435","0,9719298246","0,8611111111","0,6242857143",Bajo
11863,2019,128,19478,ENGATIVA,PRIVADO,PRI,JARDÍN INFANTIL BILINGÜE FINLANDIA,"0,5391761905","0,6351515152","0,7027777778","0,4210526316","0,3587301587","0,3914285714",Bajo
11864,2019,129,20106,SUBA,PRIVADO,PRI,GIMNASIO EL BOSQUE,"0,5751475155","0,5253679654","0,5222774327","0,7719298246","0,4027777778","0,6842857143",Bajo
11865,2019,130,859,KENNEDY,PRIVADO,PRI,GIMNASIO EL TESORO DEL SABER,"0,7408496124","0,7793939394","0,6103875969","0,8315789474","0,8177777778","0,7542857143",Alto
11866,2019,131,16669,SUBA,PRIVADO,PRI,GIMNASIO BILINGÜE MI UNIVERSO DE LUZ,"0,3633238095","0,3056277056","0,3142857143","0,1877192982","0,5222222222","0,6271428571",Bajo
11867,2019,132,18096,KENNEDY,PRIVADO,PRI,JARDÍN INFANTIL SEMILLA DE AMOR SAS,"0,6112331169","0,8192207792","0,5573484848","0,7087719298","0,3888888889","0,5057142857",Bajo
11868,2019,133,18635,SUBA,PRIVADO,PRI,JARDIN INFANTIL DIN QUIJOTE DE LA MANCHA,"0,5855121212","0,7963636364","0,4734848485","0,4947368421","0,5444444444","0,6614285714",Bajo
11869,2019,134,Q538,FONTIBON,PRIVADO,,KINDERGARTEN CAMELOT,"0,8906739837","0,9151515152","0,8251355014",1,"0,9333333333","0,7985714286",Alto
11870,2019,135,275,ENGATIVA,PRIVADO,PRI,GIMNASIO GRANDES MARAVILLAS,"0,5640285714","0,3657142857","0,580952381","0,5684210526","0,4619047619","0,9428571429",Bajo
11871,2019,136,16889,ENGATIVA,PRIVADO,PRI,SMILING KIDS,"0,5403849462","0,4521212121","0,539124424","0,8807017544","0,4603174603","0,3057142857",Bajo
11872,2019,137,17681,SANTA FE,PRIVADO,PRI,ADVENIO CENTRO INTERNACIONAL BOGOTÁ,"0,6855347518","0,88","0,594893617","0,6385964912","0,7555555556","0,5628571429",Bajo
