,AÑO,CONSECUTIO,INSCRIPCION,LOCALIDAD,TIPO,COD TIPO,NOMBRE,General,Nutrición y Salubridad,Ambientes Adecuados y Seguros,Proceso Pedagógico,Talento Humano,Proceso Administrativo,Segmento
12610,2019,877,15390,BOSA,PUBLICO,JSDIS,CASA DE PENSAMIENTO UBA RHUA,0.862142567,0.832987013,0.83495935,0.922807018,0.863095238,0.882857143,Alto
12611,2019,878,18181,ENGATIVA,PRIVADO,PRI,JARDIN INFANTIL CLUB DISNEY,0.41449387,0.363116883,0.48754306,0.078947368,0.662301587,0.528571429,Bajo
12612,2019,879,18663,SUBA,PRIVADO,PRI,BAUHAUS UN ARDIN INFANTIL SEDE ILARCO,0.684079932,0.6195671,0.708401361,0.705263158,0.571031746,0.825714286,Bajo
12613,2019,880,19759,SUBA,PRIVADO,PRI,ARBOL ARCOIRIS,0.375702381,0.579220779,0.48234127,0.315789474,0.29047619,0,Bajo
12614,2019,881,19987,KENNEDY,PRIVADO,PRI,SOÑADORES KIDS TALLER INFANTIL,0.844380193,0.927272727,0.70035461,1,0.721825397,0.942857143,Alto
12615,2019,882,190,KENNEDY,PRIVADO,PRI,JARDÍN INFANTIL DE TECHO,0.451708333,0.575757576,0.464583333,0.392982456,0.3,0.471428571,Bajo
12616,2019,883,1067,USAQUEN,PRIVADO,PRI,FUNDACIÓN CORAZONES SOLIDARIOS,1,1,1,1,1,1,Alto
12617,2019,884,3789,KENNEDY,PRIVADO,PRI,JARDÍN INFANTIL CASITA DE JULIANA,0.566188889,0.796363636,0.396851852,0.603508772,0.544444444,0.54,Bajo
12618,2019,885,16036,FONTIBON,PRIVADO,PRI,AULA MAGICA CENTRO EDUCATIVO INFANTIL PARA EL DESARROLLO,0.760802091,0.941818182,0.818292683,0.466666667,0.76031746,0.752857143,Alto
12619,2019,886,16411,CIUDAD BOLIVAR,PRIVADO,PRI,KINDERGARTEN JULIANA,0.443973706,0.626147186,0.498706004,0.410526316,0.192063492,0.355714286,Bajo
12620,2019,887,16520,TEUSAQUILLO,PRIVADO,PRI,HILOS DE COLORES,0.741954878,0.686060606,0.767682927,0.615789474,0.819444444,0.862857143,Alto
12621,2019,888,16724,TEUSAQUILLO,PRIVADO,PRI,ECO JARDIN INFANTIL MI TIERRITA,0.430141408,0.432532468,0.562836439,0.342105263,0.388888889,0.305714286,Bajo
12622,2019,889,16847,USAQUEN,PRIVADO,PRI,GIMNASIO INFANTIL LA CASITA DE LA ABUELA,0.701147214,0.856623377,0.626300236,0.364912281,0.844444444,0.92,Alto
12623,2019,890,16895,TEUSAQUILLO,PUBLICO,JSDIS,JARDIN ACUNAR TEUSAQUILLO LUGAR DE RECREO,0.86732619,0.787012987,0.8325,0.964912281,0.983333333,0.811428571,Alto
12624,2019,891,17813,FONTIBON,PRIVADO,PRI,KINDERGARTEN SAN GABRIEL,0.723120635,0.700606061,0.783068783,0.624561404,0.733333333,0.752857143,Bajo
